Score,Source IP,Destination IP,Connections,Avg Bytes,Intvl Range,Size Range,Top Intvl,Top Size,Top Intvl Count,Top Size Count,Intvl Skew,Size Skew,Intvl Dispersion,Size Dispersion
0.834,151.164.110.113,192.168.23.89,21,75,152308,8,1,73,3,12,0,0,0,0
0.834,13.52.200.165,192.168.23.89,59,79,6,7,1,80,6,55,0,0,0,0
0.834,192.82.51.33,192.168.23.89,265,12,200323,40,1,0,92,189,0,0,0,0
0.834,212.102.40.143,192.168.23.89,89,13,173583,40,1,0,20,62,0,0,0,0
0.834,110.164.252.85,192.168.23.89,27,75,480481,11,1,73,5,14,0,0,0,0
0.834,216.58.194.46,192.168.23.89,48,15,8,40,1,0,12,33,0,0,0,0
0.834,174.127.135.126,192.168.23.89,25,75,517298,11,1,73,4,16,0,0,0,0
0.834,103.16.205.190,192.168.23.89,33,79,8,11,1,80,3,20,0,0,0,0
0.834,5.135.20.191,192.168.23.89,258,16,255,40,1,0,91,174,0,0,0,0
0.834,3.9.41.13,192.168.23.89,39,81,4,12,1,80,5,20,0,0,0,0
0.834,51.159.53.186,192.168.23.89,66,15,6,40,1,0,18,45,0,0,0,0
0.834,35.177.154.157,192.168.23.89,34,79,9,7,1,80,5,30,0,0,0,0
0.834,18.134.255.239,192.168.23.89,74,80,3,12,1,80,10,50,0,0,0,0
0.834,51.81.169.95,192.168.23.89,479,87,506114,36946,1,0,114,355,0,0,0,0
0.834,35.177.154.195,192.168.23.89,99,81,4,12,1,80,6,50,0,0,0,0
0.834,18.134.255.248,192.168.23.89,24,78,13,7,1,80,2,20,0,0,0,0
0.834,172.58.84.37,192.168.23.89,36,17,7,40,1,0,7,23,0,0,0,0
0.834,8.20.122.208,192.168.23.89,44,29,2186,120,1,0,15,24,0,0,0,0
0.834,3.9.41.15,192.168.23.89,43,81,6,87,1,80,11,38,0,0,0,0
0.834,89.187.164.133,192.168.23.89,58,14,8,40,1,0,14,40,0,0,0,0
0.834,18.134.255.242,192.168.23.89,105,82,245497,12,1,85,8,60,0,0,0,0
0.834,51.159.2.19,192.168.23.89,63,13,10,40,1,0,21,45,0,0,0,0
0.834,18.134.255.250,192.168.23.89,40,82,10,12,1,85,3,25,0,0,0,0
0.834,3.9.41.12,192.168.23.89,69,79,3,7,1,80,9,65,0,0,0,0
0.834,35.177.154.194,192.168.23.89,39,81,9,12,1,85,4,20,0,0,0,0
0.834,144.217.16.164,192.168.23.89,110,12,15791,40,1,0,36,78,0,0,0,0
0.834,3.9.41.17,192.168.23.89,29,79,11,7,1,80,3,25,0,0,0,0
0.834,156.154.119.143,192.168.23.89,24,74,858190,11,1,73,5,18,0,0,0,0
0.834,3.9.41.11,192.168.23.89,98,81,1,97,1,80,13,70,0,0,0,0
0.834,104.153.105.223,192.168.23.89,96,10,169,40,1,0,38,72,0,0,0,0
0.834,173.16.239.158,192.168.23.89,21,17,12,40,1,0,12,14,0,0,0,0
0.834,44.234.76.108,192.168.23.89,61,11,6,40,1,0,28,45,0,0,0,0
0.834,178.32.60.31,192.168.23.89,32,10,12,40,1,0,12,24,0,0,0,0
0.834,139.99.234.42,192.168.23.89,51,15,13,40,1,0,20,35,0,0,0,0
0.834,94.250.213.57,192.168.23.89,248,14,42810,80,1,0,76,173,0,0,0,0
0.834,51.81.151.157,192.168.23.89,66,15,598,40,1,0,20,45,0,0,0,0
0.834,144.172.73.179,192.168.23.89,36,10,7,40,1,0,16,27,0,0,0,0
