192.168.0.1,da:a1:12:a7:ab:bd,a8:b5:c0:d9:e4:75,192.168.0.117
192.168.0.1,da:a1:12:a7:ab:bd,98:d6:bb:26:9b:ed,192.168.0.9
192.168.0.1,da:a1:12:a7:ab:bd,a6:8b:b3:d8:22:8c,192.168.0.105
192.168.0.1,da:a1:12:a7:ab:bd,ff:ff:ff:ff:ff:ff,192.168.0.115
192.168.0.101,40:4a:03:5d:29:7d,da:a1:12:a7:ab:bd,192.168.0.1
192.168.0.111,dc:a6:b2:c7:d8:6e,01:00:5e:00:00:fb,224.0.0.251
192.168.0.111,dc:a6:b2:c7:d8:6e,da:a1:12:a7:ab:bd,192.168.0.1
192.168.0.111,dc:a6:b2:c7:d8:6e,da:a1:12:a7:ab:bd,185.199.108.133
192.168.0.111,dc:a6:b2:c7:d8:6e,da:a1:12:a7:ab:bd,185.199.110.133
192.168.0.111,dc:a6:b2:c7:d8:6e,da:a1:12:a7:ab:bd,185.199.111.133
192.168.0.111,dc:a6:b2:c7:d8:6e,da:a1:12:a7:ab:bd,208.67.222.222
192.168.0.111,dc:a6:b2:c7:d8:6e,da:a1:12:a7:ab:bd,34.120.177.193
192.168.0.111,dc:a6:b2:c7:d8:6e,da:a1:12:a7:ab:bd,54.186.126.200
192.168.0.3,60:38:e0:8e:02:7e,da:a1:12:a7:ab:bd,192.168.0.1
192.168.0.3,60:38:e0:8e:02:7e,da:a1:12:a7:ab:bd,163.237.218.19
192.168.0.3,60:38:e0:8e:02:7e,ff:ff:ff:ff:ff:ff,192.168.0.115
192.168.0.40,dc:a6:32:55:38:1d,da:a1:12:a7:ab:bd,192.168.0.1
192.168.0.117,a8:b5:c0:d9:e4:75,01:00:5e:00:00:fb,224.0.0.251
192.168.0.117,a8:b5:c0:d9:e4:75,01:00:5e:7f:ff:fa,239.255.255.250
192.168.0.117,a8:b5:c0:d9:e4:75,da:a1:12:a7:ab:bd,192.168.0.1
192.168.0.117,a8:b5:c0:d9:e4:75,da:a1:12:a7:ab:bd,104.16.19.94
192.168.0.117,a8:b5:c0:d9:e4:75,da:a1:12:a7:ab:bd,104.16.248.249
97.113.67.179,da:a1:12:a7:ab:bd,a6:8b:b3:d8:22:8c,192.168.0.105
